Designator,Device,Footprint,Mid X,Mid Y,Ref X,Ref Y,Pad X,Pad Y,Pins,Layer,Rotation,SMD,Comment
"D4"	,"1N4148"	,"DO-35_BD2.0-L4.2-P8.20-D0.5-RD"	,"9.947mm"	,"-112.438mm"	,"9.947mm"	,"-112.438mm"	,"5.847mm"	,"-112.438mm"	,"2"	,"B"	,"0"	,"No"	,"1N4148"	,
"D5"	,"1N4148"	,"DO-35_BD2.0-L4.2-P8.20-D0.5-RD"	,"9.947mm"	,"-129.938mm"	,"9.947mm"	,"-129.938mm"	,"5.847mm"	,"-129.938mm"	,"2"	,"B"	,"0"	,"No"	,"1N4148"	,
"D6"	,"1N4148"	,"DO-35_BD2.0-L4.2-P8.20-D0.5-RD"	,"27.447mm"	,"-59.938mm"	,"27.447mm"	,"-59.938mm"	,"23.347mm"	,"-59.938mm"	,"2"	,"B"	,"0"	,"No"	,"1N4148"	,
"D7"	,"1N4148"	,"DO-35_BD2.0-L4.2-P8.20-D0.5-RD"	,"27.447mm"	,"-77.438mm"	,"27.447mm"	,"-77.438mm"	,"23.347mm"	,"-77.438mm"	,"2"	,"B"	,"0"	,"No"	,"1N4148"	,
"D8"	,"1N4148"	,"DO-35_BD2.0-L4.2-P8.20-D0.5-RD"	,"27.447mm"	,"-94.938mm"	,"27.447mm"	,"-94.938mm"	,"23.347mm"	,"-94.938mm"	,"2"	,"B"	,"0"	,"No"	,"1N4148"	,
"D9"	,"1N4148"	,"DO-35_BD2.0-L4.2-P8.20-D0.5-RD"	,"27.447mm"	,"-112.438mm"	,"27.447mm"	,"-112.438mm"	,"23.347mm"	,"-112.438mm"	,"2"	,"B"	,"0"	,"No"	,"1N4148"	,
"D10"	,"1N4148"	,"DO-35_BD2.0-L4.2-P8.20-D0.5-RD"	,"27.447mm"	,"-129.938mm"	,"27.447mm"	,"-129.938mm"	,"23.347mm"	,"-129.938mm"	,"2"	,"B"	,"0"	,"No"	,"1N4148"	,
"D11"	,"1N4148"	,"DO-35_BD2.0-L4.2-P8.20-D0.5-RD"	,"44.947mm"	,"-59.938mm"	,"44.947mm"	,"-59.938mm"	,"40.847mm"	,"-59.938mm"	,"2"	,"B"	,"0"	,"No"	,"1N4148"	,
"D12"	,"1N4148"	,"DO-35_BD2.0-L4.2-P8.20-D0.5-RD"	,"44.947mm"	,"-77.438mm"	,"44.947mm"	,"-77.438mm"	,"40.847mm"	,"-77.438mm"	,"2"	,"B"	,"0"	,"No"	,"1N4148"	,
"D13"	,"1N4148"	,"DO-35_BD2.0-L4.2-P8.20-D0.5-RD"	,"44.947mm"	,"-94.938mm"	,"44.947mm"	,"-94.938mm"	,"40.847mm"	,"-94.938mm"	,"2"	,"B"	,"0"	,"No"	,"1N4148"	,
"D14"	,"1N4148"	,"DO-35_BD2.0-L4.2-P8.20-D0.5-RD"	,"44.947mm"	,"-112.438mm"	,"44.947mm"	,"-112.438mm"	,"40.847mm"	,"-112.438mm"	,"2"	,"B"	,"0"	,"No"	,"1N4148"	,
"D15"	,"1N4148"	,"DO-35_BD2.0-L4.2-P8.20-D0.5-RD"	,"44.947mm"	,"-129.938mm"	,"44.947mm"	,"-129.938mm"	,"40.847mm"	,"-129.938mm"	,"2"	,"B"	,"0"	,"No"	,"1N4148"	,
"D16"	,"1N4148"	,"DO-35_BD2.0-L4.2-P8.20-D0.5-RD"	,"62.447mm"	,"-59.938mm"	,"62.447mm"	,"-59.938mm"	,"58.347mm"	,"-59.938mm"	,"2"	,"B"	,"0"	,"No"	,"1N4148"	,
"D17"	,"1N4148"	,"DO-35_BD2.0-L4.2-P8.20-D0.5-RD"	,"62.447mm"	,"-77.438mm"	,"62.447mm"	,"-77.438mm"	,"58.347mm"	,"-77.438mm"	,"2"	,"B"	,"0"	,"No"	,"1N4148"	,
"D18"	,"1N4148"	,"DO-35_BD2.0-L4.2-P8.20-D0.5-RD"	,"62.447mm"	,"-94.938mm"	,"62.447mm"	,"-94.938mm"	,"58.347mm"	,"-94.938mm"	,"2"	,"B"	,"0"	,"No"	,"1N4148"	,
